ID,Title,Description,Brand/Type,Price (NOK),URL,Image
469085847,Finngulf 39 - en av Norges mest meriterte seilbåter,Finngulf 39 - en av Norges mest meriterte seilbåter,Finngulf Seilbåt/Motorseiler,645000,https://www.finn.no/mobility/item/469085847,https://images.finncdn.no/dynamic/default/item/469085847/1e91e1c7-0941-42a4-8684-7c1df3e5757a
465804284,Unik motorseiler søker ny eier,Unik motorseiler søker ny eier,Andre Seilbåt/Motorseiler,700000,https://www.finn.no/mobility/item/465804284,https://images.finncdn.no/dynamic/default/item/465804284/7388778b-1760-4ef7-bd73-e85ed6f25276
464244773,Godt vedlikeholdt seilbåt - Ferieklar,Godt vedlikeholdt seilbåt - Ferieklar,Bavaria Seilbåt/Motorseiler,430000,https://www.finn.no/mobility/item/464244773,https://images.finncdn.no/dynamic/default/item/464244773/ee3d8ca3-9616-4ee0-b624-945a42f7f289
468896862,Beneteau Oceanis 393,Beneteau Oceanis 393,Beneteau Seilbåt/Motorseiler,650000,https://www.finn.no/mobility/item/468896862,https://images.finncdn.no/dynamic/default/item/468896862/7fc86a21-cffc-4d41-a166-1e7f1078becc
462734765,Bavaria 36 AC,Bavaria 36 AC,Bavaria Seilbåt/Motorseiler,620000,https://www.finn.no/mobility/item/462734765,https://images.finncdn.no/dynamic/default/item/462734765/e5c492bc-4848-4030-9742-2d44d2815a8d
468860735,Hanse 341 - Nydelig hjem og turseiler i ett|2020 Yanmar|Fastplass Marineholmen,Hanse 341 - Nydelig hjem og turseiler i ett|2020 Yanmar|Fastplass Marineholmen,Hanse Seilbåt/Motorseiler,539000,https://www.finn.no/mobility/item/468860735,https://images.finncdn.no/dynamic/default/item/468860735/0ead0137-5956-4f51-8f1a-ee57f43664e4
458744255,"Klassisk regattabåt med sjel – rask, velholdt og klar for nye eiere, inkl henger","Klassisk regattabåt med sjel – rask, velholdt og klar for nye eiere, inkl henger",Andre Seilbåt/Motorseiler,45000,https://www.finn.no/mobility/item/458744255,https://images.finncdn.no/dynamic/default/item/458744255/3f77755a-495b-4efd-80d8-e1758c4c31b1
468831078,Bavaria 37 – Svært godt utstyrt familiecruiser – Mye båt for pengene!,Bavaria 37 – Svært godt utstyrt familiecruiser – Mye båt for pengene!,Bavaria Seilbåt/Motorseiler,635000,https://www.finn.no/mobility/item/468831078,https://images.finncdn.no/dynamic/default/item/468831078/35f06179-518c-46b4-ab82-69aa25e32a8e
460344624,"Bavaria 36, Redusert pris","Bavaria 36, Redusert pris",Bavaria Seilbåt/Motorseiler,410000,https://www.finn.no/mobility/item/460344624,https://images.finncdn.no/dynamic/default/item/460344624/672495ab-4b99-4a8c-8b53-25a30543ab9f
461403659,Bavaria 34 AC. Romslig og velutstyrt turseiler,Bavaria 34 AC. Romslig og velutstyrt turseiler,Bavaria Seilbåt/Motorseiler,375000,https://www.finn.no/mobility/item/461403659,https://images.finncdn.no/dynamic/default/item/461403659/17cafb18-3ac3-45dc-967e-07f117a4d035
468692897,Finngulf 33,Finngulf 33,Finngulf Seilbåt/Motorseiler,963000,https://www.finn.no/mobility/item/468692897,https://images.finncdn.no/dynamic/default/item/468692897/3f82d4d5-ee9a-4436-9c8f-44afceae608e
468593557,MS 33 – Meget velholdt | Ny motor | Nytt teakdekk | Fullt oppgradert,MS 33 – Meget velholdt | Ny motor | Nytt teakdekk | Fullt oppgradert,Fjord Seilbåt/Motorseiler,360000,https://www.finn.no/mobility/item/468593557,https://images.finncdn.no/dynamic/default/item/468593557/fb067911-a6dd-4723-b52a-ea5d96c05836
466683961,Jeanneau Sun Odyssey 40,Jeanneau Sun Odyssey 40,Jeanneau Seilbåt/Motorseiler,649000,https://www.finn.no/mobility/item/466683961,https://images.finncdn.no/dynamic/default/item/466683961/2c2b347f-c7bd-4cda-a122-d5a6ee6255b3
